model_type,momentum,method,init_method,lr,mean_r2,mean_mse
poly,False,batch,xavier,0.0001,-304.31688759021074,175.17367793352497
poly,True,sto,zeros,0.01,-0.029551605716737338,0.5893491702102869
poly,True,sto,zeros,0.001,0.43159720314540956,0.32482171203665355
poly,True,sto,zeros,0.0001,-115.35682624415908,66.39271249448436
poly,True,sto,xavier,0.01,-12.124196484657723,7.5012324616073895
poly,True,sto,xavier,0.001,-16.971128138709062,10.458704085753231
poly,True,sto,xavier,0.0001,-146.21454938569755,84.17577825800544
poly,True,mini,zeros,0.01,-4.324538573804769,3.033195169698474
poly,True,mini,zeros,0.001,-106.93722946719785,61.776580768474865
poly,True,mini,zeros,0.0001,-260.9677862255429,150.08154435292107
poly,True,mini,xavier,0.01,-15.460356081285607,9.558260096510246
poly,True,mini,xavier,0.001,-124.38078714715341,71.83480562988204
poly,True,mini,xavier,0.0001,-284.3028988704353,163.55504150320172
poly,True,batch,zeros,0.01,-266.9381751634288,153.504291214349
poly,True,batch,zeros,0.001,-281.0025859578595,161.56439898214984
poly,True,batch,zeros,0.0001,-288.1962919618184,165.68738827740705
poly,True,batch,xavier,0.01,-276.28849166807515,158.9062461497405
poly,True,batch,xavier,0.001,-306.84243036948345,176.68689987603514
poly,True,batch,xavier,0.0001,-326.57552307045853,187.52444348024682
